<span style='font-size: 12px; font-weight: normal; opacity: 0.6;'>Task Type</span>,<span style='visibility: hidden;'>dummy</span>,,,,,,,,
Model,Type,Rank,Parameters,Vocabulary,Context,Commercial,Merge,Latvian,Lithuanian
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-32B'>deepcogito/cogito-v1-preview-qwen-32B</a>,📝,1.79@@1.79,32759790592.0,151665.0,131072.0,✓,✗,1.68@@1.68,1.89@@1.89
<a href='https://hf.co/mistralai/Voxtral-Small-24B-2507'>mistralai/Voxtral-Small-24B-2507</a>,📝,1.80@@1.80,24261800960.0,131072.0,8192.0,✓,✗,1.81@@1.81,1.79@@1.79
<a href='https://hf.co/Qwen/Qwen2.5-72B-Instruct'>Qwen/Qwen2.5-72B-Instruct</a>,📝,1.80@@1.80,72706203648.0,152064.0,32768.0,✓,✗,1.78@@1.78,1.81@@1.81
<a href='https://hf.co/google/gemma-3-27b-it'>google/gemma-3-27b-it</a>,📝,1.82@@1.82,27432406640.0,262144.0,8192.0,✓,✗,1.87@@1.87,1.76@@1.76
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Instruct-2503'>mistralai/Mistral-Small-3.1-24B-Instruct-2503</a>,📝,1.83@@1.83,24011361280.0,131072.0,8192.0,✓,✗,1.78@@1.78,1.88@@1.88
"<a href='https://platform.openai.com/docs/models/gpt-5.4-mini'>openai/gpt-5.4-mini-2026-03-17#none (zero-shot, val)</a>",🤔,1.87@@1.87,?,?,400000.0,✓,✗,1.97@@1.97,1.77@@1.77
"<a href='https://docs.x.ai/docs/models'>xai/grok-4-1-fast-reasoning (zero-shot, val)</a>",🤔,1.88@@1.88,?,?,131072.0,✓,✗,1.85@@1.85,1.91@@1.91
<a href='https://hf.co/deepcogito/cogito-v2-preview-llama-70B'>deepcogito/cogito-v2-preview-llama-70B</a>,📝,1.88@@1.88,70553706496.0,128256.0,131072.0,✓,✗,1.80@@1.80,1.95@@1.95
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-70B'>deepcogito/cogito-v1-preview-llama-70B</a>,📝,1.89@@1.89,70553706496.0,128256.0,131072.0,✓,✗,1.86@@1.86,1.93@@1.93
<a href='https://hf.co/Qwen/Qwen3-14B'>Qwen/Qwen3-14B#no-thinking</a>,📝,1.89@@1.89,14768307200.0,151936.0,40960.0,✓,✗,1.97@@1.97,1.81@@1.81
<a href='https://hf.co/google/gemma-3-12b-it'>google/gemma-3-12b-it</a>,📝,1.90@@1.90,12187325040.0,262144.0,8192.0,✓,✗,1.91@@1.91,1.88@@1.88
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#medium (zero-shot, val)</a>",🤔,1.90@@1.90,?,?,400000.0,✓,✗,1.98@@1.98,1.83@@1.83
"<a href='https://platform.openai.com/docs/models/gpt-4.1'>gpt-4.1-2025-04-14 (zero-shot, val)</a>",📝,1.92@@1.92,?,?,1047576.0,✓,✗,1.98@@1.98,1.85@@1.85
<a href='https://hf.co/Unbabel/Tower-Plus-72B'>Unbabel/Tower-Plus-72B (val)</a>,📝,1.94@@1.94,72706203648.0,152064.0,32768.0,✗,✗,1.90@@1.90,1.98@@1.98
<a href='https://hf.co/Qwen/Qwen3-30B-A3B-Instruct-2507'>Qwen/Qwen3-30B-A3B-Instruct-2507</a>,📝,1.94@@1.94,30532122624.0,151936.0,262144.0,✓,✗,1.98@@1.98,1.89@@1.89
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#high (zero-shot, val)</a>",🤔,1.95@@1.95,?,?,400000.0,✓,✗,1.99@@1.99,1.90@@1.90
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-sonnet-4-5-20250929#no-thinking (zero-shot, val)</a>",📝,1.96@@1.96,?,?,?,✓,✗,1.75@@1.75,2.17@@2.17
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#thinking (zero-shot, val)</a>",🤔,1.96@@1.96,?,256128.0,1048576.0,✓,✗,1.87@@1.87,2.06@@2.06
<a href='https://hf.co/meta-llama/Llama-3.3-70B-Instruct'>meta-llama/Llama-3.3-70B-Instruct</a>,📝,1.96@@1.96,70553706496.0,128256.0,131072.0,✓,✗,1.93@@1.93,1.98@@1.98
<a href='https://hf.co/mistralai/Ministral-3-14B-Reasoning-2512'>mistralai/Ministral-3-14B-Reasoning-2512 (val)</a>,📝,1.97@@1.97,13945031680.0,131072.0,8192.0,✓,✗,2.04@@2.04,1.91@@1.91
<a href='https://hf.co/deepcogito/cogito-v1-preview-qwen-14B'>deepcogito/cogito-v1-preview-qwen-14B</a>,📝,2.00@@2.00,14765947904.0,151665.0,131072.0,✓,✗,1.96@@1.96,2.05@@2.05
<a href='https://hf.co/google/gemma-3-27b-pt'>google/gemma-3-27b-pt</a>,🧠,2.01@@2.01,27432406640.0,262144.0,8192.0,✓,✗,2.38@@2.38,1.64@@1.64
<a href='https://hf.co/swiss-ai/Apertus-70B-Instruct-2509'>swiss-ai/Apertus-70B-Instruct-2509</a>,📝,2.02@@2.02,70599864480.0,131072.0,65536.0,✗,✗,2.14@@2.14,1.90@@1.90
<a href='https://hf.co/mistralai/Mistral-Small-3.1-24B-Base-2503'>mistralai/Mistral-Small-3.1-24B-Base-2503</a>,🧠,2.03@@2.03,24011361280.0,131072.0,8192.0,✓,✗,2.09@@2.09,1.98@@1.98
<a href='https://hf.co/mistralai/Ministral-3-14B-Base-2512'>mistralai/Ministral-3-14B-Base-2512 (val)</a>,🧠,2.04@@2.04,13945031680.0,131072.0,8192.0,✓,✗,2.24@@2.24,1.84@@1.84
"<a href='https://platform.openai.com/docs/models/gpt-5-nano'>gpt-5-nano-2025-08-07 (zero-shot, val)</a>",🤔,2.05@@2.05,?,100256.0,272000.0,✓,✗,1.86@@1.86,2.25@@2.25
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#low (zero-shot, val)</a>",🤔,2.05@@2.05,?,?,400000.0,✓,✗,2.00@@2.00,2.10@@2.10
<a href='https://hf.co/mistralai/Ministral-3-8B-Base-2512'>mistralai/Ministral-3-8B-Base-2512 (val)</a>,🧠,2.11@@2.11,8918026240.0,131072.0,8192.0,✓,✗,2.19@@2.19,2.02@@2.02
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#medium</a>,🤔,2.12@@2.12,21511953984.0,201088.0,131072.0,✓,✗,2.06@@2.06,2.19@@2.19
<a href='https://hf.co/mistralai/Ministral-3-14B-Instruct-2512'>mistralai/Ministral-3-14B-Instruct-2512 (val)</a>,📝,2.13@@2.13,12163481600.0,131072.0,8192.0,✓,✗,2.13@@2.13,2.13@@2.13
"<a href='https://platform.openai.com/docs/models/gpt-4.1-mini'>gpt-4.1-mini-2025-04-14 (zero-shot, val)</a>",📝,2.13@@2.13,?,?,1047576.0,✓,✗,2.11@@2.11,2.15@@2.15
<a href='https://hf.co/Qwen/Qwen3-8B'>Qwen/Qwen3-8B#no-thinking</a>,📝,2.14@@2.14,8190735360.0,151936.0,40960.0,✓,✗,2.23@@2.23,2.06@@2.06
<a href='https://hf.co/speakleash/Bielik-11B-v3.0-Instruct'>speakleash/Bielik-11B-v3.0-Instruct</a>,📝,2.16@@2.16,11168796672.0,32128.0,32768.0,✓,✗,2.27@@2.27,2.04@@2.04
<a href='https://hf.co/Qwen/Qwen3-4B-Thinking-2507'>Qwen/Qwen3-4B-Thinking-2507</a>,🤔,2.17@@2.17,4022468096.0,151936.0,262144.0,✓,✗,1.99@@1.99,2.35@@2.35
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash-lite'>gemini/gemini-2.5-flash-lite#no-thinking (zero-shot, val)</a>",📝,2.19@@2.19,?,256128.0,1048576.0,✓,✗,2.26@@2.26,2.12@@2.12
<a href='https://hf.co/ibm-granite/granite-4.0-h-small'>ibm-granite/granite-4.0-h-small</a>,📝,2.19@@2.19,32207337984.0,100352.0,131072.0,✓,✗,2.15@@2.15,2.22@@2.22
"<a href='https://docs.anthropic.com/en/docs/about-claude'>claude-haiku-4-5-20251001 (zero-shot, val)</a>",🤔,2.20@@2.20,?,?,200000.0,✓,✗,2.28@@2.28,2.13@@2.13
<a href='https://hf.co/mistralai/Ministral-3-8B-Reasoning-2512'>mistralai/Ministral-3-8B-Reasoning-2512</a>,🤔,2.21@@2.21,8918026240.0,131072.0,8192.0,✓,✗,2.37@@2.37,2.06@@2.06
<a href='https://hf.co/Qwen/Qwen3-4B'>Qwen/Qwen3-4B#no-thinking</a>,📝,2.24@@2.24,4022468096.0,151936.0,40960.0,✓,✗,2.31@@2.31,2.17@@2.17
<a href='https://hf.co/mistralai/Ministral-3-8B-Instruct-2512'>mistralai/Ministral-3-8B-Instruct-2512 (val)</a>,📝,2.24@@2.24,7415529472.0,131072.0,8192.0,✓,✗,2.34@@2.34,2.13@@2.13
<a href='https://hf.co/google/gemma-3n-E4B-it'>google/gemma-3n-E4B-it</a>,📝,2.24@@2.24,7849978192.0,262400.0,8192.0,✓,✗,2.29@@2.29,2.18@@2.18
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-2512'>utter-project/EuroLLM-22B-Instruct-2512</a>,📝,2.25@@2.25,22637328384.0,128000.0,32768.0,✓,✗,2.23@@2.23,2.27@@2.27
<a href='https://hf.co/mii-llm/nesso-4B'>mii-llm/nesso-4B</a>,📝,2.26@@2.26,4022468096.0,151936.0,262144.0,✗,✗,2.37@@2.37,2.15@@2.15
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#low</a>,🤔,2.27@@2.27,21511953984.0,201088.0,131072.0,✓,✗,2.29@@2.29,2.24@@2.24
<a href='https://hf.co/utter-project/EuroLLM-22B-Instruct-Preview'>utter-project/EuroLLM-22B-Instruct-Preview</a>,📝,2.30@@2.30,22637328384.0,128000.0,4096.0,✓,✗,2.47@@2.47,2.13@@2.13
<a href='https://hf.co/speakleash/Bielik-11B-v3-Base-20250730'>speakleash/Bielik-11B-v3-Base-20250730</a>,🧠,2.31@@2.31,11168796672.0,32128.0,32768.0,✓,✗,2.20@@2.20,2.42@@2.42
<a href='https://hf.co/google/gemma-3-12b-pt'>google/gemma-3-12b-pt</a>,🧠,2.34@@2.34,12187325040.0,262144.0,8192.0,✓,✗,2.70@@2.70,1.99@@1.99
<a href='https://hf.co/swiss-ai/Apertus-70B-2509'>swiss-ai/Apertus-70B-2509</a>,🧠,2.36@@2.36,70599864480.0,131072.0,65536.0,✓,✗,2.77@@2.77,1.95@@1.95
<a href='https://hf.co/google/gemma-3n-E2B-it'>google/gemma-3n-E2B-it</a>,📝,2.38@@2.38,5439438272.0,262400.0,8192.0,✓,✗,2.49@@2.49,2.26@@2.26
<a href='https://hf.co/Qwen/Qwen3.5-9B'>Qwen/Qwen3.5-9B (val)</a>,🤔,2.39@@2.39,9653100528.0,248044.0,8192.0,✓,✗,2.23@@2.23,2.55@@2.55
<a href='https://hf.co/meta-llama/Llama-3.1-8B-Instruct'>meta-llama/Llama-3.1-8B-Instruct</a>,📝,2.41@@2.41,8030261248.0,128256.0,131072.0,✓,✗,2.54@@2.54,2.28@@2.28
<a href='https://hf.co/openai/gpt-oss-20b'>openai/gpt-oss-20b#high</a>,🤔,2.42@@2.42,21511953984.0,201088.0,131072.0,✓,✗,2.39@@2.39,2.45@@2.45
<a href='https://hf.co/utter-project/EuroLLM-9B-Instruct'>utter-project/EuroLLM-9B-Instruct</a>,📝,2.43@@2.43,9152319488.0,128000.0,4096.0,✗,✗,2.61@@2.61,2.26@@2.26
<a href='https://hf.co/allenai/OLMo-2-0325-32B-Instruct'>allenai/OLMo-2-0325-32B-Instruct</a>,📝,2.46@@2.46,32234279936.0,100352.0,4096.0,✗,✗,2.66@@2.66,2.27@@2.27
<a href='https://hf.co/FacebookAI/xlm-roberta-large'>FacebookAI/xlm-roberta-large</a>,🔍,2.46@@2.46,561192082.0,250002.0,512.0,✓,✗,2.32@@2.32,2.60@@2.60
<a href='https://hf.co/meta-llama/Llama-3.1-8B'>meta-llama/Llama-3.1-8B</a>,🧠,2.46@@2.46,8030261248.0,128256.0,131072.0,✓,✗,2.66@@2.66,2.26@@2.26
<a href='https://hf.co/Qwen/Qwen3.5-9B-Base'>Qwen/Qwen3.5-9B-Base (val)</a>,🧠,2.47@@2.47,9653100528.0,248044.0,8192.0,✓,✗,2.63@@2.63,2.32@@2.32
<a href='https://hf.co/deepcogito/cogito-v1-preview-llama-8B'>deepcogito/cogito-v1-preview-llama-8B</a>,📝,2.47@@2.47,8030261248.0,128256.0,131072.0,✓,✗,2.63@@2.63,2.31@@2.31
"<a href='https://platform.openai.com/docs/models/gpt-4.1-nano'>gpt-4.1-nano-2025-04-14 (zero-shot, val)</a>",📝,2.47@@2.47,?,?,1047576.0,✓,✗,2.48@@2.48,2.46@@2.46
<a href='https://hf.co/Unbabel/Tower-Plus-9B'>Unbabel/Tower-Plus-9B (val)</a>,📝,2.48@@2.48,9241705984.0,256000.0,8192.0,✗,✗,2.66@@2.66,2.30@@2.30
<a href='https://hf.co/setu4993/LaBSE'>setu4993/LaBSE</a>,🔍,2.48@@2.48,470927360.0,501153.0,512.0,✓,✗,2.24@@2.24,2.71@@2.71
"<a href='https://ai.google.dev/gemini-api/docs/models#gemini-2.5-flash'>gemini/gemini-2.5-flash#no-thinking (zero-shot, val)</a>",📝,2.49@@2.49,?,256128.0,1048576.0,✓,✗,2.48@@2.48,2.51@@2.51
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-SFT'>allenai/Olmo-3.1-32B-Instruct-SFT</a>,📝,2.49@@2.49,32233522176.0,100278.0,65536.0,✗,✗,2.59@@2.59,2.39@@2.39
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512</a>,🧠,2.51@@2.51,4251743232.0,131072.0,8192.0,✓,✗,2.84@@2.84,2.19@@2.19
<a href='https://hf.co/allenai/Llama-3.1-Tulu-3-8B-SFT'>allenai/Llama-3.1-Tulu-3-8B-SFT</a>,📝,2.52@@2.52,8030326784.0,128264.0,131072.0,✓,✗,2.70@@2.70,2.34@@2.34
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct (val)</a>,📝,2.53@@2.53,11168796672.0,32128.0,32768.0,✓,✓,2.67@@2.67,2.40@@2.40
<a href='https://hf.co/LGAI-EXAONE/EXAONE-4.0-32B'>LGAI-EXAONE/EXAONE-4.0-32B (val)</a>,📝,2.53@@2.53,32003216384.0,102400.0,131072.0,✗,✗,2.50@@2.50,2.57@@2.57
<a href='https://hf.co/BSC-LT/ALIA-40b'>BSC-LT/ALIA-40b</a>,🧠,2.55@@2.55,40433885184.0,256000.0,32768.0,✓,✗,2.36@@2.36,2.73@@2.73
<a href='https://hf.co/mistralai/Ministral-3-3B-Reasoning-2512'>mistralai/Ministral-3-3B-Reasoning-2512</a>,📝,2.55@@2.55,?,?,?,✓,✗,2.71@@2.71,2.38@@2.38
<a href='https://hf.co/jhu-clsp/mmBERT-base'>jhu-clsp/mmBERT-base</a>,🔍,2.56@@2.56,307537161.0,256000.0,8192.0,✓,✗,2.49@@2.49,2.63@@2.63
<a href='https://hf.co/speakleash/Bielik-11B-v2.3-Instruct'>speakleash/Bielik-11B-v2.3-Instruct</a>,📝,2.56@@2.56,11168796672.0,32128.0,32768.0,✓,✓,2.71@@2.71,2.40@@2.40
<a href='https://hf.co/allenai/Olmo-3.1-32B-Think'>allenai/Olmo-3.1-32B-Think (val)</a>,🤔,2.56@@2.56,32233522176.0,100278.0,65536.0,✗,✗,2.60@@2.60,2.51@@2.51
<a href='https://hf.co/CohereLabs/tiny-aya-water'>CohereLabs/tiny-aya-water (val)</a>,📝,2.57@@2.57,3349227520.0,262144.0,500000.0,✗,✗,2.41@@2.41,2.73@@2.73
<a href='https://hf.co/Qwen/Qwen3.5-2B'>Qwen/Qwen3.5-2B (val)</a>,📝,2.57@@2.57,2274067232.0,248044.0,8192.0,✓,✗,2.54@@2.54,2.61@@2.61
"<a href='https://platform.openai.com/docs/models/gpt-5.4-nano'>openai/gpt-5.4-nano-2026-03-17#none (zero-shot, val)</a>",🤔,2.57@@2.57,?,?,400000.0,✓,✗,2.78@@2.78,2.37@@2.37
<a href='https://hf.co/mistralai/Ministral-3-3B-Instruct-2512'>mistralai/Ministral-3-3B-Instruct-2512</a>,📝,2.60@@2.60,?,?,?,✓,✗,2.62@@2.62,2.59@@2.59
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct-DPO'>allenai/Olmo-3.1-32B-Instruct-DPO</a>,📝,2.60@@2.60,32233522176.0,100278.0,65536.0,✗,✗,2.76@@2.76,2.43@@2.43
<a href='https://hf.co/swiss-ai/Apertus-8B-2509'>swiss-ai/Apertus-8B-2509</a>,🧠,2.61@@2.61,8053338176.0,131072.0,65536.0,✓,✗,2.98@@2.98,2.24@@2.24
<a href='https://hf.co/CohereLabs/tiny-aya-global'>CohereLabs/tiny-aya-global (val)</a>,📝,2.62@@2.62,3349227520.0,262144.0,500000.0,✗,✗,2.51@@2.51,2.73@@2.73
<a href='https://hf.co/mistralai/Ministral-3-3B-Base-2512'>mistralai/Ministral-3-3B-Base-2512 (val)</a>,🧠,2.62@@2.62,3849090048.0,131072.0,8192.0,✓,✗,2.84@@2.84,2.39@@2.39
<a href='https://hf.co/ibm-granite/granite-4.0-h-micro'>ibm-granite/granite-4.0-h-micro</a>,📝,2.63@@2.63,3191396096.0,100352.0,131072.0,✓,✗,2.71@@2.71,2.54@@2.54
<a href='https://hf.co/utter-project/EuroLLM-22B-Preview'>utter-project/EuroLLM-22B-Preview</a>,🧠,2.63@@2.63,?,128000.0,4096.0,✓,✗,3.06@@3.06,2.20@@2.20
<a href='https://hf.co/allenai/Olmo-3.1-32B-Instruct'>allenai/Olmo-3.1-32B-Instruct</a>,📝,2.63@@2.63,32233522176.0,100278.0,65536.0,✗,✗,2.78@@2.78,2.47@@2.47
<a href='https://hf.co/ibm-granite/granite-4.0-micro'>ibm-granite/granite-4.0-micro</a>,📝,2.64@@2.64,3402836480.0,100352.0,131072.0,✓,✗,2.66@@2.66,2.61@@2.61
<a href='https://hf.co/intfloat/multilingual-e5-large'>intfloat/multilingual-e5-large</a>,🔍,2.65@@2.65,559890946.0,250002.0,512.0,✓,✗,2.61@@2.61,2.68@@2.68
<a href='https://hf.co/baidu/ERNIE-4.5-21B-A3B-PT'>baidu/ERNIE-4.5-21B-A3B-PT</a>,📝,2.65@@2.65,21948655808.0,103424.0,131072.0,✓,✗,2.81@@2.81,2.49@@2.49
<a href='https://hf.co/microsoft/mdeberta-v3-base'>microsoft/mdeberta-v3-base</a>,🔍,2.68@@2.68,278225673.0,251000.0,512.0,✓,✗,2.65@@2.65,2.71@@2.71
<a href='https://hf.co/utter-project/EuroLLM-22B-2512'>utter-project/EuroLLM-22B-2512</a>,🧠,2.70@@2.70,22637328384.0,128000.0,32768.0,✓,✗,2.97@@2.97,2.42@@2.42
<a href='https://hf.co/google/gemma-3-4b-pt'>google/gemma-3-4b-pt</a>,🧠,2.70@@2.70,4300079472.0,262144.0,8192.0,✓,✗,3.01@@3.01,2.39@@2.39
<a href='https://hf.co/CohereLabs/tiny-aya-base'>CohereLabs/tiny-aya-base (val)</a>,🧠,2.72@@2.72,3349227520.0,262144.0,500000.0,✗,✗,3.02@@3.02,2.42@@2.42
<a href='https://hf.co/upstage/SOLAR-10.7B-v1.0'>upstage/SOLAR-10.7B-v1.0</a>,🧠,2.72@@2.72,10731524096.0,32000.0,4096.0,✓,✗,2.80@@2.80,2.64@@2.64
<a href='https://hf.co/swiss-ai/Apertus-8B-Instruct-2509'>swiss-ai/Apertus-8B-Instruct-2509</a>,📝,2.72@@2.72,8053338176.0,131072.0,65536.0,✗,✗,2.45@@2.45,2.98@@2.98
<a href='https://hf.co/google/gemma-3-4b-it'>google/gemma-3-4b-it</a>,📝,2.73@@2.73,4300079472.0,262144.0,8192.0,✓,✗,2.84@@2.84,2.62@@2.62
<a href='https://hf.co/allenai/Olmo-3-1125-32B'>allenai/Olmo-3-1125-32B</a>,🧠,2.73@@2.73,32233522176.0,100278.0,65536.0,✓,✗,2.95@@2.95,2.51@@2.51
<a href='https://hf.co/utter-project/EuroLLM-9B'>utter-project/EuroLLM-9B</a>,🧠,2.74@@2.74,9152319488.0,128000.0,4096.0,✓,✗,2.83@@2.83,2.64@@2.64
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-BF16#no-thinking</a>,📝,2.77@@2.77,31577937344.0,131072.0,262144.0,✓,✗,2.99@@2.99,2.56@@2.56
<a href='https://hf.co/jhu-clsp/mmBERT-small'>jhu-clsp/mmBERT-small</a>,🔍,2.80@@2.80,140645001.0,256000.0,8192.0,✓,✗,2.70@@2.70,2.91@@2.91
<a href='https://hf.co/google/rembert'>google/rembert</a>,🔍,2.81@@2.81,574602505.0,250300.0,512.0,✓,✗,2.88@@2.88,2.73@@2.73
<a href='https://hf.co/Qwen/Qwen3-1.7B'>Qwen/Qwen3-1.7B#no-thinking</a>,📝,2.82@@2.82,2031739904.0,151936.0,40960.0,✓,✗,2.94@@2.94,2.70@@2.70
<a href='https://hf.co/Qwen/Qwen3.5-4B'>Qwen/Qwen3.5-4B (val)</a>,🤔,2.83@@2.83,4659861248.0,248044.0,8192.0,✓,✗,2.76@@2.76,2.90@@2.90
<a href='https://hf.co/intfloat/multilingual-e5-base'>intfloat/multilingual-e5-base</a>,🔍,2.87@@2.87,278044162.0,250002.0,512.0,✓,✗,2.83@@2.83,2.90@@2.90
<a href='https://hf.co/ibm-granite/granite-4.0-h-tiny'>ibm-granite/granite-4.0-h-tiny</a>,📝,2.90@@2.90,6939037248.0,100352.0,131072.0,✓,✗,3.09@@3.09,2.71@@2.71
<a href='https://hf.co/speakleash/Bielik-11B-v2.6-Instruct'>speakleash/Bielik-11B-v2.6-Instruct</a>,📝,2.93@@2.93,11168796672.0,32128.0,32768.0,✓,✗,3.04@@3.04,2.81@@2.81
<a href='https://hf.co/Qwen/Qwen3.5-4B-Base'>Qwen/Qwen3.5-4B-Base (val)</a>,🧠,2.94@@2.94,4659861248.0,248044.0,8192.0,✓,✗,2.96@@2.96,2.91@@2.91
<a href='https://hf.co/speakleash/Bielik-4.5B-v3.0-Instruct'>speakleash/Bielik-4.5B-v3.0-Instruct</a>,📝,2.95@@2.95,4757260288.0,32000.0,32768.0,✓,✗,2.93@@2.93,2.97@@2.97
<a href='https://hf.co/Qwen/Qwen3.5-0.8B'>Qwen/Qwen3.5-0.8B (val)</a>,📝,2.97@@2.97,873436192.0,248044.0,8192.0,✓,✗,3.05@@3.05,2.88@@2.88
<a href='https://hf.co/nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8'>nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8 (val)</a>,🤔,2.97@@2.97,30491811840.0,131072.0,262144.0,✓,✗,3.09@@3.09,2.85@@2.85
<a href='https://hf.co/allenai/Olmo-3-7B-Think'>allenai/Olmo-3-7B-Think</a>,🤔,3.03@@3.03,7298011136.0,100278.0,65536.0,✗,✗,3.19@@3.19,2.87@@2.87
